term,parent,translation,language,tags,added,status,link_status,pronunciation
All,,,English,,2026-01-29 18:12:13,99,,
Backspace,,,English,,2026-01-29 18:32:32,99,,
Basics,,,English,,2026-01-29 18:32:30,99,,
Before,,,English,,2026-01-29 18:32:22,99,,
Bing,,,English,,2026-01-29 18:32:32,99,,
Book,,,English,,2026-01-29 18:32:25,99,,
Bulk,,,English,,2026-01-29 18:32:25,99,,
Bulk​ ​updates,,"批量更新
",English,,2026-01-29 18:17:40,1,,
Copy,,,English,,2026-01-29 18:32:25,99,,
Delete,,,English,,2026-01-29 18:32:32,99,,
Each,,,English,,2026-01-29 18:12:13,99,,
English,,,English,,2026-01-29 18:32:30,99,,
Escape,,,English,,2026-01-29 18:32:22,99,,
Escaping,,,English,,2026-01-29 18:32:22,99,,
For,,,English,,2026-01-29 18:12:13,99,,
Hit,,,English,,2026-01-29 18:12:13,99,,
Home,,,English,,2026-01-29 18:32:25,99,,
Hovering,,,English,,2026-01-29 18:32:22,99,,
I,,,English,,2026-01-29 18:32:22,99,,
If,,,English,,2026-01-29 18:12:13,99,,
Ignore,,,English,,2026-01-29 18:32:22,99,,
Its,,,English,,2026-01-29 18:32:22,99,,
Known,,,English,,2026-01-29 18:12:13,99,,
Languages,,,English,,2026-01-29 18:32:30,99,,
Lute,,,English,,2026-01-29 13:51:06,99,,
Multi,,,English,,2026-01-29 18:32:32,99,,
Multiple,,,English,,2026-01-29 18:12:13,99,,
Navigation,,,English,,2026-01-29 18:32:30,99,,
Note,,,English,,2026-01-29 18:12:13,99,,
Parent,,,English,,2026-01-29 18:12:13,99,,
Return,,,English,,2026-01-29 18:12:13,99,,
Sentences,,,English,,2026-01-29 18:32:25,99,,
Shift,,,English,,2026-01-29 18:32:25,99,,
Sometimes,,,English,,2026-01-29 18:12:13,99,,
Spanish,,,English,,2026-01-29 18:12:13,99,,
The,,,English,,2026-01-29 18:12:13,99,,
Then,,,English,,2026-01-29 18:12:13,99,,
There,,,English,,2026-01-29 18:12:13,99,,
Try,,,English,,2026-01-29 18:12:13,99,,
Updating,,,English,,2026-01-29 18:32:22,99,,
Welcome,,,English,,2026-01-29 13:50:57,99,,
When,,,English,,2026-01-29 18:12:13,99,,
You,,,English,,2026-01-29 18:12:13,99,,
a,,,English,,2026-01-29 18:12:13,99,,
above,,,English,,2026-01-29 18:32:22,99,,
according,,,English,,2026-01-29 18:32:30,99,,
across,,,English,,2026-01-29 18:32:32,99,,
active,,,English,,2026-01-29 18:32:22,99,,
add,,,English,,2026-01-29 18:32:30,99,,
added,,,English,,2026-01-29 18:32:32,99,,
adding,,,English,,2026-01-29 18:32:30,99,,
after,,,English,,2026-01-29 18:12:13,99,,
again,,,English,,2026-01-29 18:32:22,99,,
also,,,English,,2026-01-29 18:12:13,99,,
an,,,English,,2026-01-29 18:32:30,99,,
and,,,English,,2026-01-29 18:12:13,99,,
any,,,English,,2026-01-29 18:32:22,99,,
anymore,,,English,,2026-01-29 18:32:22,99,,
anywhere,,,English,,2026-01-29 18:32:22,99,,
apple,,,English,,2026-01-29 18:32:22,99,,
arbitrary,,任意的,English,,2026-01-29 18:31:00,1,,
are,,,English,,2026-01-29 18:32:22,99,,
arrow,,,English,,2026-01-29 18:32:22,99,,
arrows,,,English,,2026-01-29 18:12:13,99,,
as,,,English,,2026-01-29 18:12:13,99,,
associate,,,English,,2026-01-29 18:12:13,99,,
associated,,,English,,2026-01-29 18:32:32,99,,
associating,,,English,,2026-01-29 18:32:32,99,,
at,,,English,,2026-01-29 18:12:13,99,,
back,,,English,,2026-01-29 18:12:13,99,,
backwards,,,English,,2026-01-29 18:32:30,99,,
banana,,,English,,2026-01-29 18:32:22,99,,
be,,,English,,2026-01-29 18:12:13,99,,
because,,,English,,2026-01-29 18:32:30,99,,
been,,,English,,2026-01-29 18:32:22,99,,
below,,,English,,2026-01-29 18:32:30,99,,
best,,,English,,2026-01-29 18:32:32,99,,
blue,,,English,,2026-01-29 18:12:13,99,,
border,,,English,,2026-01-29 18:32:32,99,,
both,,,English,,2026-01-29 18:12:13,99,,
bottom,,,English,,2026-01-29 18:12:13,99,,
box,,,English,,2026-01-29 18:12:13,99,,
brief,,,English,,2026-01-29 18:32:32,99,,
bunch,,,English,,2026-01-29 18:12:13,99,,
but,,,English,,2026-01-29 18:32:22,99,,
button,,,English,,2026-01-29 18:32:30,99,,
buttons,,,English,,2026-01-29 18:32:22,99,,
by,,,English,,2026-01-29 18:32:22,99,,
c,,,English,,2026-01-29 18:32:25,99,,
can,,,English,,2026-01-29 18:12:13,99,,
carried,,,English,,2026-01-29 18:32:25,99,,
change,,,English,,2026-01-29 18:32:22,99,,
checkmark,,,English,,2026-01-29 18:12:13,99,,
click,,,English,,2026-01-29 18:12:13,99,,
clicked,,,English,,2026-01-29 18:32:22,99,,
clicking,,,English,,2026-01-29 18:32:22,99,,
clipboard,,,English,,2026-01-29 18:32:25,99,,
cold,,,English,,2026-01-29 18:32:32,99,,
come,,,English,,2026-01-29 18:12:13,99,,
configured,,,English,,2026-01-29 18:32:30,99,,
conjugate,,联合,English,,2026-01-29 14:18:51,1,,
conjugated,conjugate,联合,English,,2026-01-29 14:08:24,1,y,
conjugation,,,English,,2026-01-29 18:12:13,99,,
contains,,,English,,2026-01-29 18:32:30,99,,
content,,,English,,2026-01-29 18:32:32,99,,
context,,,English,,2026-01-29 18:12:13,99,,
copying,,,English,,2026-01-29 18:32:25,99,,
cranberry,,蔓越莓,English,,2026-01-29 18:13:07,1,,
create,,,English,,2026-01-29 18:12:13,99,,
created,,,English,,2026-01-29 18:32:25,99,,
creating,,,English,,2026-01-29 18:12:13,99,,
current,,,English,,2026-01-29 18:32:22,99,,
data,,,English,,2026-01-29 18:32:30,99,,
database,,,English,,2026-01-29 18:32:25,99,,
define,,,English,,2026-01-29 18:12:13,99,,
